,Unnamed: 0,#,Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments,Senator Name,Type,Comment
1066,,3,Spouse,--,MDLZ (stock option)  Option Type: Neither  Strike price: $24.86  Expires: 02/23/2022,,12/30/2015,"$50,001 - $100,000",,The Honorable Roy Blunt (Former Senator),Sale (Full),--
1067,,1,Spouse,--,401-K Interest Income Fund,Purchase,03/31/2015,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
1068,,2,Spouse,--,401-K International Equity Fund,Purchase,03/31/2015,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
1069,,3,Spouse,--,401-K US Large Cap Equity Index Fund,Purchase,03/31/2015,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
1070,,1,Self,SHAPX,ClearBridge Appreciation A,Sale (Partial),02/28/2015,"$1,001 - $15,000",,The Honorable Patrick J Leahy (Former Senator),,
1071,,1,Joint,NICE,NICE Systems Ltd. (NASDAQ),,02/05/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1072,,2,Joint,VSI,"Vitamin Shoppe, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1073,,3,Joint,WAL,Western Alliance Bancorporation (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1074,,4,Joint,TUMI,"Tumi Holdings, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1075,,5,Joint,TTC,The Toro Company (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1076,,6,Joint,THS,"Treehouse Foods, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1077,,7,Joint,THRM,Gentherm Incorporated (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1078,,8,Joint,TECH,Bio-Techne Corp. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1079,,9,Joint,TCBI,Texas Capital BancShares Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1080,,10,Joint,SXT,Sensient Technologies Corporation (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1081,,11,Joint,SWI,"SolarWinds, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1082,,12,Joint,SSB,South State Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1083,,13,Joint,SQI,"SciQuest, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1084,,14,Joint,SPSC,"SPS Commerce, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1085,,15,Joint,SMTC,Semtech Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1086,,16,Joint,SHOO,"Steven Madden, Ltd. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1087,,17,Joint,SGY,Stone Energy Corp. (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1088,,18,Joint,RRTS,"Roadrunner Transportation Systems, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1089,,19,Joint,ROLL,RBC Bearings Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1090,,20,Joint,RBA,Ritchie Bros. Auctioneers Incorporated (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1091,,21,Joint,RAVN,Raven Industries Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1092,,22,Joint,QLIK,"Qlik Technologies, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1093,,23,Joint,PRLB,"Proto Labs, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1094,,24,Joint,PRIM,Primoris Services Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1095,,25,Joint,PRAA,"PRA Group, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1096,,26,Joint,PRA,ProAssurance Corporation (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1097,,27,Joint,PLT,"Plantronics, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1098,,28,Joint,PLKI,"Popeyes Louisiana Kitchen, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1099,,29,Joint,PEB,Pebblebrook Hotel Trust (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1100,,30,Joint,PBH,"Prestige Brands Holdings, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1101,,31,Joint,OMCL,"Omnicell, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1102,,32,Joint,OFC,Corporate Office Properties Trust (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1103,,33,Joint,NSR,"NeuStar, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1104,,34,Joint,NICE,NICE Systems Ltd. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1105,,35,Joint,TXRH,"Texas Roadhouse, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1106,,36,Joint,MFRM,Mattress Firm Holding Corp. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1107,,37,Joint,MDCA,MDC Partners Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1108,,38,Joint,MASI,Masimo Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1109,,39,Joint,LOCK,"LifeLock, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1110,,40,Joint,LL,"Lumber Liquidators Holdings, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1111,,41,Joint,KWR,Quaker Chemical Corporation (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1112,,42,Joint,JJSF,J&J Snack Foods Corp. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1113,,43,Joint,IPCM,"IPC Healthcare, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1114,,44,Joint,ICUI,"ICU Medical, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1115,,45,Joint,ICON,"Iconix Brand Group, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1116,,46,Joint,HUBG,Hub Group Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1117,,47,Joint,IART,Integra LifeSciences Holdings Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1118,,48,Joint,HLX,"Helix Energy Solutions Group, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1119,,49,Joint,HF,"HFF, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1120,,50,Joint,HCSG,Healthcare Services Group Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1121,,51,Joint,GMED,"Globus Medical, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1122,,52,Joint,FNGN,"Financial Engines, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1123,,53,Joint,FMBI,First Midwest Bancorp Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1124,,54,Joint,FET,"Forum Energy Technologies, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1125,,55,Joint,EVR,Evercore Partners Inc. (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1126,,56,Joint,EPAY,"Bottomline Technologies (de), Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1127,,57,Joint,EGBN,"Eagle Bancorp, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1128,,58,Joint,DRQ,"Dril-Quip, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1129,,59,Joint,DIOD,Diodes Incorporated (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1130,,60,Joint,CYBX,Cyberonics Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1131,,61,Joint,CVLT,"CommVault Systems, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1132,,62,Joint,CTRL,Control4 Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1133,,63,Joint,CTCT,"Constant Contact, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1134,,64,Joint,CRZO,Carrizo Oil & Gas Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1135,,65,Joint,CMN,Cantel Medical Corp. (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1136,,66,Joint,CLC,CLARCOR Inc. (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1137,,67,Joint,MG,"Mistras Group, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1138,,68,Joint,CASY,"Casey's General Stores, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1139,,69,Joint,BMR,BioMed Realty Trust Inc. (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1140,,70,Joint,BIO,"Bio-Rad Laboratories, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1141,,71,Joint,BERY,"Berry Plastics Group, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1142,,72,Joint,BECN,"Beacon Roofing Supply, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1143,,73,Joint,BCPC,Balchem Corp. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1144,,74,Joint,ATRO,Astronics Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1145,,75,Joint,ALE,"ALLETE, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1146,,76,Joint,AKRX,"Akorn, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1147,,77,Joint,AFSI,"AmTrust Financial Services, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1148,,78,Joint,ABCO,The Advisory Board Company (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1149,,79,Joint,AAT,"American Assets Trust, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1150,,80,Joint,AAON,AAON Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1151,,81,Joint,CGNX,Cognex Corporation (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1152,,82,Joint,JCOM,"j2 Global, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1153,,83,Joint,WST,"West Pharmaceutical Services, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1154,,84,Joint,TYPE,Monotype Imaging Holdings Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1155,,85,Joint,SIGI,Selective Insurance Group Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1156,,86,Joint,POWI,Power Integrations Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1157,,87,Joint,MNRO,Monro Muffler Brake Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1158,,88,Joint,LSTR,Landstar System Inc. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1159,,89,Joint,HEI,HEICO Corporation (NYSE),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1160,,90,Joint,DFRG,"Del Frisco's Restaurant Group, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1161,,91,Joint,CHEF,"The Chefs' Warehouse, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1162,,92,Joint,AMSG,AmSurg Corp. (NASDAQ),,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1163,,93,Joint,WAGE,"WageWorks, Inc. (NYSE)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1164,,94,Spouse,TNGO,"Tangoe, Inc. (NASDAQ)",,02/13/2015,"$1,001 - $15,000",,"Tillis, Thom",Sale (Full),--
1165,,1,Joint,MYL,"Mylan, Inc. (NASDAQ)",,02/20/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1166,,2,Joint,IYT,iShares Transportation Average (NYSEArca),,02/20/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1167,,3,Joint,AMGN,Amgen Inc. (NASDAQ),,02/20/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1168,,4,Joint,CELG,Celgene Corporation (NASDAQ),,02/20/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,"Note: This purchase was less than $1,000."
1169,,5,Joint,ACT,Actavis plc (NYSE),,03/03/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1170,,6,Self,ACT,Actavis plc (NYSE),,03/03/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1171,,7,Self,AMAT,"Applied Materials, Inc. (NASDAQ)",,03/03/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1172,,8,Joint,MYL,"Mylan, Inc. (NASDAQ)",,03/03/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1173,,9,Self,FEYE,"FireEye, Inc. (NASDAQ)",,04/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1174,,10,Self,EMC,EMC Corporation (NYSE),,04/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Partial),--
1175,,11,Self,SLB,Schlumberger Limited (NYSE),,04/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Partial),--
1176,,12,Self,ESRX,Express Scripts Holding Company (NASDAQ),,04/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1177,,13,Self,MSFT,Microsoft Corporation (NASDAQ),,04/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1178,,14,Self,TBF,ProShares Short 20+ Year Treasury (NYSEArca),,05/04/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1179,,15,Joint,TBF,ProShares Short 20+ Year Treasury (NYSEArca),,05/04/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1180,,16,Joint,VRTX,Vertex Pharmaceuticals Incorporated (NASDAQ),,05/13/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Partial),--
1181,,17,Joint,XRT,SPDR Series Trust - SPDR S&P Retail ETF (NYSEArca),,05/26/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1182,,18,Self,LSCC,Lattice Semiconductor Corporation (NASDAQ),,06/04/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1183,,19,Joint,LSCC,Lattice Semiconductor Corporation (NASDAQ),,06/04/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1184,,20,Joint,AMG,Affiliated Managers Group Inc. (NYSE),,06/30/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1185,,21,Joint,ALTR,Altera Corp. (NASDAQ),,06/30/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1186,,22,Self,AMG,Affiliated Managers Group Inc. (NYSE),,06/30/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1187,,23,Self,ALTR,Altera Corp. (NASDAQ),,06/30/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1188,,24,Joint,FEYE,"FireEye, Inc. (NASDAQ)",,07/29/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1189,,25,Joint,--,FACTORSHARES TR PUREFUNDS ISE CYBER SEC HACK,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1190,,26,Joint,--,GUGGENHEIM S&P RYT,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1191,,27,Joint,--,Affiliated Managers Group AMG,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1192,,28,Joint,--,Claymore Trust 2 Guggenheim Shipping SEA,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1193,,29,Joint,--,Fireeye Inc FEYE,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1194,,30,Joint,--,NCR Corp New NCR,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1195,,31,Joint,--,Potash Corp of Saskatchewan Inc POT,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1196,,32,Joint,--,ISHARES IAI,,12/23/2015,"$1,001 - $15,000",,"Reed, John F.",Purchase,--
1197,,33,Joint,VWO,Vanguard FTSE Emerging Markets ETF,,12/29/2015,"$1,001 - $15,000",,"Reed, John F.",Sale (Full),--
1198,,1,Spouse,--,Maine St Hsg Auth 11/15/2017 4.4%  Rate/Coupon: 4.40 % Matures: 11/15/2017,,02/18/2015,"$15,001 - $50,000",,"King, Angus",Sale (Full),"""Called"" Redemption"
1199,,2,Spouse,--,Augusta ME 12/01/2016 4.00%  Rate/Coupon: 4.00% Matures: 12/01/2016,,03/02/2015,"$15,001 - $50,000",,"King, Angus",Sale (Full),"""Called"" Redemption"
1200,,3,Spouse,--,Muni Bond Cape Elizabeth ME  Rate/Coupon: 3.75% Matures: 04/01/2016,,04/01/2015,"$15,001 - $50,000",,"King, Angus",Sale (Full),"Redemption ""Called"""
1201,,4,Spouse,--,Muni Bond Ellsworth ME GO  Rate/Coupon: 2.25% Matures: 12/01/2024,,05/05/2015,"$15,001 - $50,000",,"King, Angus",Purchase,--
1202,,5,Spouse,--,"A Woman, A Part LLC - 1/5 of 1 Share Company: A Woman, A Part LLC  Description: Movie Production Company",,05/08/2015,"$1,001 - $15,000",,"King, Angus",Purchase,--
1203,,6,Spouse,--,Maine Health & Higher Ed Bond  Rate/Coupon: 3.25% Matures: 07/01/2027,,06/10/2015,"$15,001 - $50,000",,"King, Angus",Purchase,--
1204,,7,Spouse,--,Maine State Hsg Authority Bond  Rate/Coupon: 2.60% Matures: 11/15/2022,,06/17/2015,"$15,001 - $50,000",,"King, Angus",Purchase,--
1205,,8,Spouse,--,Maine Health & Higher Ed Rev Bond  Rate/Coupon: 3.25% Matures: 07/01/2027,,07/16/2015,"$15,001 - $50,000",,"King, Angus",Purchase,--
1206,,9,Spouse,--,Regional School Unit No 5 ME  Rate/Coupon: 2.50% Matures: 11/01/2026,,10/15/2015,"$15,001 - $50,000",,"King, Angus",Purchase,--
1207,,10,Spouse,--,QCOM - Qualcomm Inc,,11/05/2015,"$1,001 - $15,000",,"King, Angus",Sale (Full),--
1208,,11,Spouse,--,SIAL - Sigma Aldrich Corp,,11/18/2015,"$15,001 - $50,000",,"King, Angus",Sale (Full),Mandatory Cash Merger
1209,,12,Spouse,--,Maine Muni Bond Bank  Rate/Coupon: 4.25% Matures: 11/01/2017,,12/03/2015,"$15,001 - $50,000",,"King, Angus",Sale (Full),"""Called"" Redemption"
1210,,13,Spouse,KMI,"Kinder Morgan, Inc.",,12/16/2015,"$1,001 - $15,000",,"King, Angus",Sale (Full),--
1211,,14,Spouse,--,Maine St Hsg Auth Bond  Rate/Coupon: 4.20% Matures: 11/15/2020,,12/28/2015,"$1,001 - $15,000",,"King, Angus",Sale (Full),"""Called"" Redemption"
1212,,1,Self,--,ANANIA & ASSOCIATES SUB-ASSET: ELMET TECHNOLOGIES,Purchase,01/23/2015,"$15,001 - $50,000",,"King, Angus",,
1213,,2,Self,HLEMX,Harding Loevner Emerging Markets Advisor,Purchase,04/22/2015,"$1,001 - $15,000",,"King, Angus",,
1214,,3,Self,EMBIX,Lazard Emerging Markets Equity Blnd Inst,Sale (Full),04/22/2015,"$1,001 - $15,000",,"King, Angus",,
1215,,4,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm,Sale (Partial),05/21/2015,"$15,001 - $50,000",,"King, Angus",,
1216,,5,Self,PAAIX,PIMCO All Asset Instl,Sale (Full),09/17/2015,"$15,001 - $50,000",,"King, Angus",,
1217,,6,Self,NFFFX,American Funds New World F2,Sale (Full),06/24/2015,"$15,001 - $50,000",,"King, Angus",,
1218,,7,Self,EAAIX,Wells Fargo Asset Allocation Inst,Sale (Full),12/17/2015,"$15,001 - $50,000",,"King, Angus",,
1219,,8,Self,VFIAX,Vanguard 500 Index Admiral,Sale (Partial),01/22/2015,"$50,001 - $100,000",,"King, Angus",,
1220,,9,Self,VFIAX,Vanguard 500 Index Admiral,Sale (Partial),02/23/2015,"$50,001 - $100,000",,"King, Angus",,
1221,,10,Self,VFIAX,Vanguard 500 Index Admiral,Sale (Partial),07/20/2015,"$15,001 - $50,000",,"King, Angus",,
1222,,11,Self,FFRIX,Fidelity Advisor Floating Rate Hi Inc I,Purchase,07/17/2015,"$1,001 - $15,000",,"King, Angus",,
1223,,12,Self,HSGFX,Hussman Strategic Growth,Sale (Full),04/23/2015,"$1,001 - $15,000",,"King, Angus",,
1224,,13,Self,IWN,iShares Russell 2000 Value,Sale (Partial),11/10/2015,"$1,001 - $15,000",,"King, Angus",,
1225,,14,Self,AMJ,JPMorgan Alerian MLP ETN,Sale (Full),11/10/2015,"$1,001 - $15,000",,"King, Angus",,
1226,,15,Self,IJK,iShares S&P Mid-Cap 400 Growth,Purchase,07/17/2015,"$1,001 - $15,000",,"King, Angus",,
1227,,16,Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Full),08/20/2015,"$1,001 - $15,000",,"King, Angus",,
1228,,17,Self,WSHFX,American Funds Washington Mutual F1,Sale (Full),04/23/2015,"$1,001 - $15,000",,"King, Angus",,
1229,,18,Self,WMGAX,Ivy Mid Cap Growth A,Sale (Full),07/17/2015,"$1,001 - $15,000",,"King, Angus",,
1230,,19,Self,DODFX,Dodge & Cox International Stock,Purchase,04/23/2015,"$1,001 - $15,000",,"King, Angus",,
1231,,20,Self,EAAFX,Wells Fargo Asset Allocation A,Purchase,04/23/2015,"$1,001 - $15,000",,"King, Angus",,
1232,,21,Self,HLEMX,Harding Loevner Emerging Markets Advisor,Purchase,04/22/2015,"$15,001 - $50,000",,"King, Angus",,
1233,,22,Self,HLEMX,Harding Loevner Emerging Markets Advisor,Sale (Partial),11/23/2015,"$1,001 - $15,000",,"King, Angus",,
1234,,23,Self,EMBIX,Lazard Emerging Markets Equity Blnd Inst,Sale (Full),04/22/2015,"$15,001 - $50,000",,"King, Angus",,
1235,,24,Self,TBGVX,"Tweedy, Browne Global Value",Sale (Partial),11/23/2015,"$1,001 - $15,000",,"King, Angus",,
1236,,25,Spouse,FMLSX,Wasatch Long/Short Investor,Sale (Full),09/22/2015,"$1,001 - $15,000",,"King, Angus",,
1237,,26,Spouse,FCNTX,Fidelity Contrafund,Sale (Full),03/04/2015,"$15,001 - $50,000",,"King, Angus",,
1238,,27,Self,--,US TREASURY NOTE 1.875% MATURES 8/31/2022,Purchase,08/27/2015,"$1,001 - $15,000",,"King, Angus",,
1239,,28,Spouse,IJR,iShares Core S&P Small-Cap,Purchase,04/10/2015,"$1,001 - $15,000",,"King, Angus",,
1240,,29,Spouse,AGG,iShares Core US Aggregate Bond,Purchase,04/23/2015,"$1,001 - $15,000",,"King, Angus",,
1241,,30,Spouse,SCHM,Schwab US Mid-Cap ETF,Purchase,03/04/2015,"$1,001 - $15,000",,"King, Angus",,
1242,,31,Spouse,SPY,SPDR S&P 500 ETF,Purchase,01/28/2015,"$1,001 - $15,000",,"King, Angus",,
1243,,32,Spouse,SPY,SPDR S&P 500 ETF,Purchase,03/04/2015,"$15,001 - $50,000",,"King, Angus",,
1244,,1,Joint,--,Minot North Dakota Airport Rev Series D  Rate/Coupon: 3.5% Matures: 10/01/2030,,01/08/2015,"$15,001 - $50,000",,The Honorable Michael B Enzi (Former Senator),Purchase,--
1245,,2,Joint,--,MITCHELL SOUTH DAKOTA SCHOOL DISTRICT NUMBER 17-2 LIMITED TAX CAPITAL OUTLAY CERTIFICATES  Rate/Coupon: 3.2% Matures: 06/15/2027,,06/03/2015,"$1,001 - $15,000",,The Honorable Michael B Enzi (Former Senator),Purchase,--
1246,,3,Joint,--,WYOMING COMMUNITY DEVELOPMENT AUTHORITY HOUSING REVENUE BONDS 2013 SERIES 2  Rate/Coupon: 3.75% Matures: 12/01/2032,,06/12/2015,"$15,001 - $50,000",,The Honorable Michael B Enzi (Former Senator),Purchase,--
1247,,4,Joint,--,Leander Texas Independent School Dist  Rate/Coupon: 0.0% Matures: 08/15/2035,,08/25/2015,"$1,001 - $15,000",,The Honorable Michael B Enzi (Former Senator),Purchase,--
1248,,1,Joint,ASMCX,Forward Total MarketPlus Institutional,Sale (Full),12/09/2015,"$1,001 - $15,000",,The Honorable Michael B Enzi (Former Senator),,
1249,,2,Self,TEMWX,Templeton World A,Sale (Partial),11/20/2015,"$1,001 - $15,000",,The Honorable Michael B Enzi (Former Senator),,
1250,,1,Self,AAPL,Apple Inc. (NASDAQ),,08/21/2015,"$15,001 - $50,000",,"Cornyn, John",Purchase,--
