,Unnamed: 0,#,Transaction Date,Owner,Ticker,Asset Name,Type,Amount,Comment,Senator Name,Transaction Type,Comments
417,,27,03/06/2018,Spouse,VUG,Vanguard Growth Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
418,,28,03/06/2018,Spouse,VTV,Vanguard Value Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
419,,29,03/06/2018,Spouse,IEMG,iShares Core MSCI Emerging Markets ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
420,,30,03/06/2018,Spouse,EPP,iShares MSCI Pacific ex Japan ETF,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
421,,31,03/06/2018,Spouse,EWC,iShares MSCI Canada ETF,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
422,,32,03/06/2018,Spouse,EWJ,iShares MSCI Japan ETF,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
423,,33,03/06/2018,Spouse,EWD,iShares MSCI Sweden ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
424,,34,03/06/2018,Spouse,EZU,iShares MSCI Eurozone ETF,,"$50,001 - $100,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
425,,35,03/06/2018,Spouse,EWU,iShares MSCI United Kingdom ETF,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
426,,36,03/06/2018,Spouse,EWL,iShares MSCI Switzerland ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
427,,37,01/31/2018,Spouse,EWU,iShares MSCI United Kingdom ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
428,,38,01/31/2018,Spouse,VBK,Vanguard Small-Cap Growth Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
429,,39,01/31/2018,Spouse,VTV,Vanguard Value Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
430,,40,01/31/2018,Spouse,VUG,Vanguard Growth Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
431,,41,01/31/2018,Spouse,EZU,iShares MSCI Eurozone ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
432,,42,01/31/2018,Spouse,VBR,Vanguard Small-Cap Value Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
433,,43,01/30/2018,Spouse,IEMG,iShares Core MSCI Emerging Markets ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
434,,44,08/29/2018,Spouse,VGT,Vanguard Information Technology Index Fund ETF Sha,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
435,,45,06/20/2018,Spouse,IEFA,iShares Core MSCI EAFE ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
436,,46,03/28/2018,Spouse,XLF,Financial Select Sector SPDR Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
437,,47,03/06/2018,Spouse,VAW,Vanguard Materials Index Fund ETF Shares,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
438,,48,03/06/2018,Spouse,VGT,Vanguard Information Technology Index Fund ETF Sha,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Partial),
439,,49,03/06/2018,Spouse,SKYY,First Trust Cloud Computing ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
440,,50,03/06/2018,Spouse,XLF,Financial Select Sector SPDR Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
441,,51,03/06/2018,Spouse,XLE,Energy Select Sector SPDR Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
442,,52,03/06/2018,Spouse,EWL,iShares MSCI Switzerland ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
443,,53,03/06/2018,Spouse,EWU,iShares MSCI United Kingdom ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
444,,54,03/06/2018,Spouse,EWC,iShares MSCI Canada ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
445,,55,03/06/2018,Spouse,EPP,iShares MSCI Pacific ex Japan ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
446,,56,03/06/2018,Spouse,EWJ,iShares MSCI Japan ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
447,,57,03/06/2018,Spouse,EZU,iShares MSCI Eurozone ETF,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
448,,58,03/06/2018,Spouse,IEFA,iShares Core MSCI EAFE ETF,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Purchase,
449,,59,04/16/2018,Spouse,TPLGX,T. Rowe Price Institutional Large Cap Core Growth,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
450,,60,04/16/2018,Spouse,VIEIX,Vanguard Extended Market Index Fund Institutional,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
451,,61,01/31/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
452,,62,02/28/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
453,,63,03/30/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
454,,64,04/30/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
455,,65,05/31/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
456,,66,06/29/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
457,,67,07/02/2018,Spouse,VRIVX,Vanguard Institutional Target Retirement 2025 Fund,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
458,,68,08/31/2018,Spouse,--,Vanguard Target Retirement 2025 Trust II,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
459,,69,09/28/2018,Spouse,--,Vanguard Target Retirement 2025 Trust II,,"$1,001 - $15,000",,Ms. Kamala D Harris (Former Senator),Purchase,
460,,70,07/03/2018,Spouse,--,Vanguard Target Retirement 2025 Trust II,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Purchase,
461,,71,10/31/2018,Spouse,--,Vanguard Target Retirement 2025 Trust II,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Sale (Full),
462,,72,11/01/2018,Spouse,--,Vanguard Target Retirement 2030 Trust II,,"$15,001 - $50,000",,Ms. Kamala D Harris (Former Senator),Purchase,
463,,1,08/07/2018,Joint,GE,General Electric Company,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
464,,2,08/07/2018,Joint,WBA,"Walgreens Boots Alliance, Inc.",Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
465,,3,08/07/2018,Joint,MDLZ,"Mondelez International, Inc.",Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
466,,1,08/07/2018,Self,VSS,Vanguard FTSE All-World ex-US Small-Cap Index Fund,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
467,,2,08/07/2018,Self,VYM,Vanguard High Dividend Yield Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
468,,3,08/07/2018,Self,VB,Vanguard Small-Cap Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
469,,4,08/07/2018,Self,VO,Vanguard Mid-Cap Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
470,,5,08/07/2018,Self,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
471,,6,08/07/2018,Self,BIV,Vanguard Intermediate-Term Bond Index Fund ETF Sha,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
472,,7,08/07/2018,Self,FGORX,Franklin U.S. Government Securities Fund Class R6,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
473,,8,12/13/2018,Self,VEU,Vanguard FTSE All-World ex-US Index Fund ETF Share,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
474,,9,12/13/2018,Self,VB,Vanguard Small-Cap Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
475,,10,12/13/2018,Self,VO,Vanguard Mid-Cap Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
476,,11,12/13/2018,Self,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
477,,12,12/13/2018,Self,BIV,Vanguard Intermediate-Term Bond Index Fund ETF Sha,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Partial),
478,,13,12/13/2018,Spouse,VYMI,Vanguard International High Dividend Yield Index F,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
479,,14,12/13/2018,Spouse,VUG,Vanguard Growth Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
480,,15,12/13/2018,Spouse,SDY,SPDR S&P Dividend ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
481,,16,12/13/2018,Spouse,VTV,Vanguard Value Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
482,,17,08/07/2018,Spouse,BSV,Vanguard Short-Term Bond Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
483,,18,12/13/2018,Spouse,SDY,SPDR S&P Dividend ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
484,,19,12/13/2018,Spouse,VTV,Vanguard Value Index Fund ETF Shares,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
485,,20,12/13/2018,Spouse,VYMI,Vanguard International High Dividend Yield Index F,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
486,,1,05/09/2017,Joint,POT,Potash Corporation of Saskatchewan Inc.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
487,,2,05/10/2017,Joint,CAT,Caterpillar Inc.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
488,,3,05/10/2017,Joint,GME,GameStop Corp.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
489,,4,06/05/2017,Joint,CAT,Caterpillar Inc.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
490,,5,06/16/2017,Joint,NEE,"NEE-NextEra Energy, Inc.",Sale (Full),"$15,001 - $50,000",--,"Duckworth, Tammy",,
491,,6,06/20/2017,Self,MCD,McDonald's Corporation,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
492,,7,08/23/2017,Joint,DVMT,Dell Technologies Inc.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
493,,8,09/01/2017,Joint,--  DWDP,DD - E I duPont de Nemours & Co (Exchanged)  DowDuPont Inc. Received,Exchange,"$1,001 - $15,000",--,"Duckworth, Tammy",,
494,,9,09/15/2017,Joint,INTC,Intel Corporation,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
495,,10,10/10/2017,Joint,CC,CC - The Chemours Company,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
496,,11,10/17/2017,Joint,JNJ,Johnson & Johnson,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
497,,12,10/18/2017,Joint,ABT,Abbott Laboratories,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
498,,13,10/23/2017,Joint,DWDP,DowDuPont Inc.,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
499,,14,11/01/2017,Joint,SOUHY,South32 Limited,Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
500,,15,11/30/2017,Joint,GS,"The Goldman Sachs Group, Inc.",Sale (Full),"$1,001 - $15,000",--,"Duckworth, Tammy",,
501,,16,12/21/2017,Joint,BBL,BHP Billiton plc,Sale (Full),"$1,001 - $15,000",Originally reported as Purchase in error,"Duckworth, Tammy",,
502,,1,09/21/2017,Self,FGORX,Franklin US Government Secs R6,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
503,,2,09/21/2017,Self,BIV,Vanguard Interm-Term Bond ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
504,,3,09/21/2017,Self,VUG,Vanguard Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
505,,4,09/21/2017,Self,VO,Vanguard Mid-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
506,,5,09/21/2017,Self,VB,Vanguard Small-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
507,,6,09/21/2017,Self,VWO,Vanguard FTSE Emerging Markets ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
508,,7,09/21/2017,Self,VIG,Vanguard Dividend Appreciation ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
509,,8,09/21/2017,Self,VYM,Vanguard High Dividend Yield ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
510,,9,09/21/2017,Self,VEU,Vanguard FTSE All-Wld ex-US ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
511,,10,09/21/2017,Self,VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
512,,11,09/21/2017,Self,AMECX,American Funds Income Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
513,,12,09/21/2017,Self,AIVSX,American Funds Invmt Co of Amer A,,"$15,001 - $50,000",,"Duckworth, Tammy",Sale (Full),
514,,13,09/21/2017,Self,ANWPX,American Funds New Perspective A,,"$15,001 - $50,000",,"Duckworth, Tammy",Sale (Full),
515,,14,09/21/2017,Self,SMCWX,American Funds SMALLCAP World A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
516,,15,09/21/2017,Self,CWGIX,American Funds Capital World Gr&Inc A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
517,,16,09/21/2017,Self,ABNDX,American Funds Bond Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
518,,17,09/21/2017,Self,ABNDX,American Funds Bond Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
519,,18,09/21/2017,Self,AMECX,American Funds Income Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
520,,19,09/21/2017,Self,AIVSX,American Funds Invmt Co of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
521,,20,09/21/2017,Self,ANWPX,American Funds New Perspective A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
522,,21,09/21/2017,Self,VUG,Vanguard Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
523,,22,09/21/2017,Self,VIG,Vanguard Dividend Appreciation ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
524,,23,09/21/2017,Self,VEU,Vanguard FTSE All-Wld ex-US ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
525,,24,09/21/2017,Self,VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
526,,25,09/21/2017,Self,VTV,Vanguard Value ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
527,,26,09/13/2017,Spouse,EFG,iShares MSCI EAFE Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
528,,27,09/13/2017,Spouse,SDY,SPDR S&P Dividend ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
529,,28,09/13/2017,Spouse,BIV,Vanguard Interm-Term Bond ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
530,,29,09/13/2017,Spouse,BSV,Vanguard Short-Term Bond ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
531,,30,09/13/2017,Spouse,VUG,Vanguard Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
532,,31,09/13/2017,Spouse,VO,Vanguard Mid-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
533,,32,09/13/2017,Spouse,VB,Vanguard Small-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
534,,33,09/13/2017,Spouse,VTV,Vanguard Value ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
535,,34,09/13/2017,Spouse,VWO,Vanguard FTSE Emerging Markets ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
536,,35,09/13/2017,Spouse,VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
537,,36,09/13/2017,Spouse,AMECX,American Funds Income Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
538,,37,09/13/2017,Spouse,AIVSX,American Funds Invmt Co of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
539,,38,09/13/2017,Spouse,ANWPX,American Funds New Perspective A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
540,,39,09/13/2017,Spouse,SMCWX,American Funds SMALLCAP World A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
541,,40,09/13/2017,Spouse,AMECX,American Funds Income Fund of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
542,,41,09/13/2017,Spouse,AIVSX,American Funds Invmt Co of Amer A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
543,,42,09/13/2017,Spouse,ANWPX,American Funds New Perspective A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
544,,43,09/13/2017,Spouse,SMCWX,American Funds SMALLCAP World A,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
545,,44,09/13/2017,Spouse,EFG,iShares MSCI EAFE Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
546,,45,09/13/2017,Spouse,SDY,SPDR S&P Dividend ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
547,,46,09/13/2017,Spouse,BIV,Vanguard Interm-Term Bond ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
548,,47,09/13/2017,Spouse,VUG,Vanguard Growth ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
549,,48,09/13/2017,Spouse,VO,Vanguard Mid-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
550,,49,09/13/2017,Spouse,VB,Vanguard Small-Cap ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
551,,50,09/13/2017,Spouse,VTV,Vanguard Value ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
552,,51,09/13/2017,Spouse,VWO,Vanguard FTSE Emerging Markets ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
553,,52,09/13/2017,Spouse,VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
554,,53,11/03/2017,Joint,--,Bright Start College Svgs Advisor 0-6 Yr,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),
555,,54,11/03/2017,Joint,--,Bright Start College Svgs Mod Age Based 3-5 Yr Cl C,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
556,,55,11/03/2017,Joint,--,Bright Start College Svgs Mod Age Based 3-5 Yr Cl A,,"$1,001 - $15,000",,"Duckworth, Tammy",Purchase,
557,,1,09/07/2016,Joint,DVMT,Dell Technologies Inc.,,"$1,001 - $15,000",,"Duckworth, Tammy",Exchange,Shares received in exchange for EMC shares. Previously reported on PTR to House Ethics
558,,2,12/09/2016,Joint,POT,Potash Corporation of Saskatchewan Inc.,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),Previously Reported on PTR to House Ethics
559,,3,12/08/2016,Joint,GLW,Corning Incorporated,,"$1,001 - $15,000",,"Duckworth, Tammy",Sale (Full),Previously Reported on PTR to House Ethics
560,,1,02/09/2018,Self,--,Gen 6 Building,,"$250,001 - $500,000",,"Daines, Steve",Sale (Full),
561,,2,12/24/2018,Self,HFOIX,Janus Henderson International Opportunities Fund C,,"$15,001 - $50,000",,"Daines, Steve",Sale (Full),
562,,3,12/24/2018,Self,AACFX,Invesco Greater China Fund Class A,,"$15,001 - $50,000",,"Daines, Steve",Sale (Full),
563,,4,12/24/2018,Self,MCHFX,Matthews China Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Sale (Full),
564,,5,01/24/2018,Self,VGHAX,Vanguard Health Care Fund Admiral Shares,,"$50,001 - $100,000",,"Daines, Steve",Purchase,
565,,6,08/16/2018,Self,VTTHX,Vanguard Target Retirement 2035 Fund Investor Shar,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
566,,7,08/16/2018,Self,VSMGX,Vanguard LifeStrategy Moderate Growth Fund Investo,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
567,,8,08/16/2018,Self,VTHRX,Vanguard Target Retirement 2030 Fund Investor Shar,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
568,,9,08/16/2018,Self,VFORX,Vanguard Target Retirement 2040 Fund Investor Shar,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
569,,10,07/19/2018,Self,VWIGX,Vanguard International Growth Fund Investor Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
570,,11,07/18/2018,Self,VTSAX,Vanguard Total Stock Market Index Fund Admiral Sha,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
571,,12,07/19/2018,Self,VIMAX,Vanguard Mid-Cap Index Fund Admiral Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
572,,13,08/21/2018,Self,MCHFX,Matthews China Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
573,,14,08/16/2018,Self,VGSTX,Vanguard Star Fund Investor Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
574,,15,08/21/2018,Self,AACFX,Invesco Greater China Fund Class A,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
575,,16,08/16/2018,Self,VASGX,Vanguard LifeStrategy Growth Fund Investor Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
576,,17,08/16/2018,Self,VHDYX,Vanguard High Dividend Yield Index Fund Investor S,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
577,,18,08/15/2018,Self,VSGAX,Vanguard Small-Cap Growth Index Fund Admiral Share,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
578,,19,08/16/2018,Self,VEXPX,Vanguard Explorer Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
579,,20,12/18/2018,Self,VGHAX,Vanguard Health Care Fund Admiral Shares,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
580,,21,12/20/2018,Self,NWHYX,Nationwide Geneva Mid Cap Growth Fund Institutiona,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
581,,22,03/29/2018,Self,VGHAX,Vanguard Health Care Fund Admiral Shares,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
582,,23,12/28/2018,Self,VTHRX,Vanguard Target Retirement 2030 Fund Investor Shar,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
583,,24,11/23/2018,Self,APDQX,Artisan Mid Cap Value Fund Advisor Class,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
584,,25,12/13/2018,Self,MCHFX,Matthews China Fund Investor Class,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
585,,26,12/20/2018,Self,HFOIX,Janus Henderson International Opportunities Fund C,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
586,,27,12/18/2018,Self,AACFX,Invesco Greater China Fund Class A,,"$1,001 - $15,000",,"Daines, Steve",Purchase,
587,,28,12/24/2018,Joint,MCDFX,Matthews China Dividend Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Sale (Full),
588,,29,08/21/2018,Joint,MCDFX,Matthews China Dividend Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
589,,30,08/16/2018,Joint,VTCLX,Vanguard Tax-Managed Capital Appreciation Fund Adm,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
590,,31,08/16/2018,Joint,VWUSX,Vanguard U.S. Growth Fund Investor Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
591,,32,08/15/2018,Joint,VDADX,Vanguard Dividend Appreciation Index Fund Admiral,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
592,,33,08/15/2018,Joint,VEXPX,Vanguard Explorer Fund Investor Class,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
593,,34,08/15/2018,Joint,VHDYX,Vanguard High Dividend Yield Index Fund Investor S,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
594,,35,08/15/2018,Joint,VSGAX,Vanguard Small-Cap Growth Index Fund Admiral Share,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
595,,36,08/15/2018,Joint,VTMSX,Vanguard Tax-Managed Small Cap Fund Admiral Shares,,"$15,001 - $50,000",,"Daines, Steve",Purchase,
596,,1,07/30/2018,Spouse,--,Scholar's Choice 529 Plan Age Based Option: Age10-12A,,"$1,001 - $15,000",,"Rubio, Marco",Sale (Partial),
597,,1,12/06/2018,Spouse,GS,"The Goldman Sachs Group, Inc.",Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
598,,2,12/06/2018,Spouse,XOM,Exxon Mobil Corporation,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
599,,3,12/06/2018,Spouse,DIS,The Walt Disney Company,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
600,,4,12/06/2018,Spouse,DVA,DaVita Inc.,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
601,,5,12/06/2018,Spouse,COST,Costco Wholesale Corporation,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
602,,6,12/06/2018,Self,PFE,Pfizer Inc.,Sale (Full),"$1,001 - $15,000",--,"Moran, Jerry",,
603,,7,12/06/2018,Self,WY,Weyerhaeuser Company,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
604,,8,12/06/2018,Self,WFC,Wells Fargo & Company,Purchase,"$15,001 - $50,000",--,"Moran, Jerry",,
605,,9,12/06/2018,Self,--,Verizon Communications Inc.,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
606,,10,12/06/2018,Self,USB,U.S. Bancorp,Purchase,"$1,001 - $15,000",--,"Moran, Jerry",,
